Titel,Abkürzung,Ausfertigungsdatum,Fundstelle,Pfad
Verordnung über die Berufsausbildung zum Mathematisch-technischen Softwareentwickler/zur  Mathematisch-technischen Softwareentwicklerin,SoftwareentwAusbV,2007-03-14,"BGBlI:2007,326",gesetze-master/s/softwareentwausbv/index.md
Gesetz über die Unterlagen des Staatssicherheitsdienstes der ehemaligen Deutschen  Demokratischen Republik,StUG,1991-12-20,"BGBlI:1991,2272",gesetze-master/s/stug/index.md
Gesetz zur Anpassung der personellen Struktur der Streitkräfte,SKPersStruktAnpG,2012-07-21,"BGBlI:2012,1583",gesetze-master/s/skpersstruktanpg/index.md
Verordnung über die sozialversicherungsrechtliche Beurteilung von Zuwendungen  des Arbeitgebers als Arbeitsentgelt,SvEV,2006-12-21,"BGBlI:2006,3385",gesetze-master/s/svev/index.md
Steuerbeamten-Ausbildungsgesetz,StBAG,1961-05-16,"BGBlI:1961,603(800)",gesetze-master/s/stbag/index.md
Verordnung über zwingende Arbeitsbedingungen für Sicherheitsleistungen,SicherheitArbbV,2011-05-05,"BAnz:2011,Nr72,1692",gesetze-master/s/sicherheitarbbv/index.md
Gesetz zur Gleichstellung von Soldatinnen und Soldaten der Bundeswehr,SGleiG,2004-12-27,"BGBlI:2004,3822",gesetze-master/s/sgleig/index.md
Verordnung über die pauschalierten Nettoentgelte für das Kurzarbeitergeld für  das Jahr 2013,SGB3EntgV 2013,2012-12-07,"BGBlI:2012,2607",gesetze-master/s/sgb3entgv_2013/index.md
"Sozialgesetzbuch (SGB) Fünftes Buch (V) - Gesetzliche Krankenversicherung -  (Artikel 1 des Gesetzes v. 20. Dezember 1988, BGBl. I S. 2477)",SGB 5,1988-12-20,"BGBlI:1988,2477,2482",gesetze-master/s/sgb_5/index.md
Gesetz zu dem Übereinkommen von 1976 über die Beschränkung der Haftung für  Seeforderungen,SeeSchHaftÜbk1976G,1986-07-23,"BGBlII:1986,786",gesetze-master/s/seeschhaftuebk1976g/index.md
"Gesetz zur Änderung des Einkommensteuergesetzes, des Körperschaftsteuergesetzes,  des Gewerbesteuergesetzes, des Bewertungsgesetzes, des Vermögensteuergesetzes, des  Steuersäumnisgesetzes, der Reichsabgabenordnung, des Steueranpassungsgesetzes, des  Gesetzes zur Förderung der Wirtschaft von Berlin (West) und andere Gesetze",StÄndG 1961,1961-07-13,"BGBlI:1961,981",gesetze-master/s/staendg_1961/index.md
Verordnung über den Bezug von Abdrucken aus dem Schuldnerverzeichnis,SchuVAbdrV,2012-07-26,"BGBlI:2012,1658",gesetze-master/s/schuvabdrv/index.md
Gesetz zu dem Abkommen vom 14. Juli 1992 zwischen der Bundesrepublik Deutschland  und dem Königreich Schweden zur Vermeidung der Doppelbesteuerung bei den Steuern  vom Einkommen und vom Vermögen sowie bei den Erbschaft- und Schenkungsteuern und  zur Leistung gegenseitigen Beistands bei den Steuern,StSWEAbkG,1994-06-08,"BGBlII:1994,686",gesetze-master/s/stsweabkg/index.md
Fünfundzwanzigste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung,StVZOAusnV 25,1976-07-01,"BGBlI:1976,1778",gesetze-master/s/stvzoausnv_25/index.md
Dreiundvierzigste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung,StVZOAusnV 43,1993-03-18,"BGBlI:1993,361",gesetze-master/s/stvzoausnv_43/index.md
Sechste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung,StVZOAusnV 6,1962-07-17,"BGBlI:1962,450",gesetze-master/s/stvzoausnv_6/index.md
"Gesetz zu dem Übereinkommen vom 23. Oktober 1969 zur Erhaltung der lebenden  Schätze des Südostatlantiks, zu dem Protokoll vom 21. Januar 1972 zur Änderung des  Übereinkommens vom 20. Dezember 1962 über den Schutz des Lachsbestandes in der Ostsee,  zur Konvention vom 13. September 1973 über die Fischerei und den Schutz der lebenden  Ressourcen in der Ostsee und den Belten sowie zur Änderung des Seefischerei-Vertragsgesetzes  1971",SeeFischVtrG 1976,1976-09-10,"BGBlII:1976,1542",gesetze-master/s/seefischvtrg_1976/index.md
Abkommen zwischen der Bundesrepublik Deutschland und der Republik Slowenien  über Soziale Sicherheit,SozSichAbk SVN,1997-09-24,"BGBlII:1998,1987",gesetze-master/s/sozsichabk_svn/index.md
Verordnung über das Meisterprüfungsberufsbild und über die Prüfungsanforderungen  in den Teilen I und II der Meisterprüfung im Steinmetz- und Steinbildhauer-Handwerk,StmStbMstrV 2008,2008-07-11,"BGBlI:2008,1281",gesetze-master/s/stmstbmstrv_2008/index.md
Abkommen zwischen der Bundesrepublik Deutschland und dem Internationalen Seegerichtshof  über den Sitz des Gerichtshofs,SeegerSitzAbk,2004-12-14,"BGBlII:2007,159",gesetze-master/s/seegersitzabk/index.md
"Gesetz zu dem Vertrag vom 3. April 1989 zwischen der Bundesrepublik Deutschland  und der Republik Österreich über den Verlauf der gemeinsamen Staatsgrenze in der  Sektion III des Grenzabschnittes ""Scheibelberg-Bodensee"" sowie in einem Teil des  Grenzabschnittes ""Dreieckmark-Dandlbachmündung"" und des Grenzabschnittes ""Saalach-Scheibelberg""",StGrenzVtrAUT1989G,1993-04-02,"BGBlII:1993,707",gesetze-master/s/stgrenzvtraut1989g/index.md
Gesetz über den Vollzug der Freiheitsstrafe und der freiheitsentziehenden Maßregeln  der Besserung und Sicherung,StVollzG,1976-03-16,"BGBlI:1976,581(2088)",gesetze-master/s/stvollzg/index.md
Straßenverkehrs-Ordnung,StVO,1970-11-16,"BGBlI:1970,1565",gesetze-master/s/stvo/index.md
Gesetz zur Änderung der Haftungshöchstbeträge nach dem Straßenverkehrsgesetz,StVGHBetrÄndV,1965-09-15,"BGBlI:1965,1362",gesetze-master/s/stvghbetraendv/index.md
Zwölfte Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Ordnung,StVOAusnV 12,2005-03-18,"BGBlI:2005,866",gesetze-master/s/stvoausnv_12/index.md
Saatgutbeihilfeverordnung,SaatBeihV 1993,1993-10-20,"BGBlI:1993,1756",gesetze-master/s/saatbeihv_1993/index.md
Abkommen zwischen der Bundesrepublik Deutschland und der Republik Polen über  den Zusammenschluß der deutschen Bundesstraße B 97 und der polnischen Landesstraße  274 sowie über den Bau einer Grenzbrücke im Raum Guben und Gubinek,StrZusGubenAbk POL,1995-03-20,"BGBlII:1996,844",gesetze-master/s/strzusgubenabk_pol/index.md
Verordnung über die Übertragung von Aufgaben und Befugnissen eines Sicherungsfonds  für die Krankenversicherung an die Medicator AG,SichKVV,2006-05-11,"BGBlI:2006,1171",gesetze-master/s/sichkvv/index.md
Abkommen zwischen der Regierung der Bundesrepublik Deutschland und der Regierung  der Republik Kroatien über die gegenseitige Befreiung von Steuern und Straßengebühren  für Straßenfahrzeuge im internationalen Verkehr,StBefrAbk HRV,1998-02-27,"BGBlII:1998,183",gesetze-master/s/stbefrabk_hrv/index.md
Gesetz zur Einordnung des Sozialhilferechts in das Sozialgesetzbuch,SozhiEinOG,2003-12-27,"BGBlI:2003,3022",gesetze-master/s/sozhieinog/index.md
Verordnung über die Inbetriebnahme von Sportbooten und Wassermotorrädern sowie  deren Vermietung und gewerbsmäßige Nutzung im Küstenbereich,SeeSpbootV,2002-08-29,"BGBlI:2002,3457",gesetze-master/s/seespbootv/index.md
Verordnung zur Sicherstellung des Straßenverkehrs,StrVerkSiV,1980-09-23,"BGBlI:1980,1795",gesetze-master/s/strverksiv/index.md
Verordnung über die Gewährung diplomatischer Vorrechte und Immunitäten im Bereich  der Sozialen Sicherheit an durch zwischenstaatliche Vereinbarungen geschaffene Organisationen,SozSichVoRV,1985-08-05,"BGBlII:1985,961",gesetze-master/s/sozsichvorv/index.md
"Zweite Verordnung zur Änderung der Verordnung zur Durchführung der Vorschriften  über Steuerberater, Steuerbevollmächtigte und Steuerberatungsgesellschaften",StBDVÄndV 2,1996-07-25,"BGBlI:1996,1168",gesetze-master/s/stbdvaendv_2/index.md
Übereinkommen von 1972 über die Internationalen Regeln zur Verhütung von Zusammenstößen  auf See,SeeStrO1972Übk,1972-10-20,"BGBlII:1976,1018",gesetze-master/s/seestro1972uebk/index.md
Verordnung zur Durchführung des Grundbuchbereinigungsgesetzes und anderer Vorschriften  auf dem Gebiet des Sachenrechts,SachenR-DV,1994-12-20,"BGBlI:1994,3900",gesetze-master/s/sachenr-dv/index.md
Bekanntmachung über die Höhe der Regelleistung nach § 20 Abs. 2 des Zweiten  Buches Sozialgesetzbuch für die Zeit ab 1. Juli 2005,SGB2§20Abs2Bek,2005-09-01,"BGBlI:2005,2718",gesetze-master/s/sgb2_20abs2bek/index.md
Staatsangehörigkeits-Gebührenverordnung,StAGebV,1974-03-28,"BGBlI:1974,809",gesetze-master/s/stagebv/index.md
"Gesetz zu dem Internationalen Übereinkommen vom 7. Juli 1978 über Normen für  die Ausbildung, die Erteilung von Befähigungszeugnissen und den Wachdienst von Seeleuten",SeeAusbNÜbk1978G,1982-03-25,"BGBlII:1982,297",gesetze-master/s/seeausbnuebk1978g/index.md
Bekanntmachung über die Höhe der Regelleistung nach § 20 Abs. 2 des Zweiten  Buches Sozialgesetzbuch für die Zeit ab 1. Juli 2006,SGB2§20Abs2Bek 2006,2006-07-20,"BGBlI:2006,1702",gesetze-master/s/sgb2_20abs2bek_2006/index.md
Verordnung zu dem Abkommen vom 6. November 2007 zwischen der Regierung der  Bundesrepublik Deutschland und der Regierung der Republik Österreich über den vorübergehenden  Aufenthalt von Angehörigen der deutschen Bundeswehr und Angehörigen des österreichischen  Bundesheeres auf dem Gebiet des jeweils anderen Staats,SkAufV AUT,2008-11-12,"BGBlII:2008,1290",gesetze-master/s/skaufv_aut/index.md
Europäisches Übereinkommen über den Schutz von Schlachttieren,SchlTSchÜbk,1979-05-10,"BGBlII:1983,771",gesetze-master/s/schltschuebk/index.md
"Zusatzprotokoll zum Allgemeinen Abkommen zwischen der Bundesrepublik Deutschland  und dem KÖnigreich Belgien über Soziale Sicherheit vom 7. Dezember 1957, zur Dritten  Zusatzvereinbarung und zum Schlußprotokoll zu dem Allgemeinen Abkommen vom 7. Dezember  1957",SozSichAbkuaZProt BEL,1960-11-10,"BGBlII:1963,447",gesetze-master/s/sozsichabkuazprot_bel/index.md
Verordnung über das Meisterprüfungsberufsbild und über die Prüfungsanforderungen  in den Teilen I und II der Meisterprüfung im Siebdrucker-Handwerk,SiebdrMstrV 2006,2006-09-05,"BGBlI:2006,2126",gesetze-master/s/siebdrmstrv_2006/index.md
"Gesetz zur Änderung des Gesetzes über Rechte an eingetragenen Schiffen und  Schiffsbauwerken, der Schiffsregisterordnung und des Gesetzes über die Zwangsversteigerung  und die Zwangsverwaltung",SchRGÄndG,1968-12-04,"BGBlI:1968,1295",gesetze-master/s/schrgaendg/index.md
Übereinkommen von 1976 über die Beschränkung der Haftung für Seeforderungen,SeeSchHaftÜbk 1976,1976-11-19,"BGBlII:1986,787",gesetze-master/s/seeschhaftuebk_1976/index.md
Gesetz zur Verbesserung der Sicherheit der Seefahrt durch die Untersuchung  von Seeunfällen und anderen Vorkommnissen,SUG,2002-06-16,"BGBlI:2002,1815,1817",gesetze-master/s/sug/index.md
Stabilisierungs- und Assoziierungsabkommen zwischen den Europäischen Gemeinschaften  und ihren Mitgliedstaaten einerseits und der Republik Montenegro andererseits,SAA MNE,2007-10-15,"BGBlII:2009,1083",gesetze-master/s/saa_mne/index.md
Internationales Übereinkommen von 1974 zum Schutz des menschlichen Lebens auf  See,SeeSchIntÜbk 1974,1974-11-01,"BGBlII:1979,143",gesetze-master/s/seeschintuebk_1974/index.md
Erstes Gesetz zur Änderung des Elften Buches Sozialgesetzbuch und anderer Gesetze,SGB11ÄndG 1,1996-06-14,"BGBlI:1996,830",gesetze-master/s/sgb11aendg_1/index.md
Verordnung über den Zugang zu Elektrizitätsversorgungsnetzen,StromNZV,2005-07-25,"BGBlI:2005,2243",gesetze-master/s/stromnzv/index.md
Zusatzvereinbarung zur Durchführung und Ergänzung des Abkommens vom 6. November  1964 zwischen der Bundesrepublik Deutschland und der Portugiesischen Republik über  Soziale Sicherheit,SozSichAbkDVbg PRT,1966-12-08,"BGBlII:1968,492",gesetze-master/s/sozsichabkdvbg_prt/index.md
Verordnung über den Wert der Sachbezüge in der Sozialversicherung für das Kalenderjahr  1991 in dem in Artikel 3 des Einigungsvertrages genannten Gebiet,SachBezV BG,1990-12-17,"BGBlI:1990,2914",gesetze-master/s/sachbezv_bg/index.md
Straßenbaufinanzierungsgesetz,StrFinG,1960-03-28,"BGBlI:1960,201",gesetze-master/s/strfing/index.md
Verordnung zu Systemdienstleistungen durch Windenergieanlagen,SDLWindV,2009-07-03,"BGBlI:2009,1734",gesetze-master/s/sdlwindv/index.md
"Gesetz zur Aufhebung des Strukturhilfegesetzes und zur Aufstockung des Fonds  ""Deutsche Einheit""",StruktHiGAufhDEFASG,1992-03-16,"BGBlI:1992,674",gesetze-master/s/strukthigaufhdefasg/index.md
"Verordnung über die Leistungsentgelte für das Arbeitslosengeld, das Teilarbeitslosengeld,  das Unterhaltsgeld und die Arbeitslosenhilfe sowie die pauschalierten Nettoentgelte  für das Kurzarbeitergeld und das Winterausfallgeld für das Jahr 2004",SGB3LEntgV 2004,2003-12-22,"BGBlI:2003,3100",gesetze-master/s/sgb3lentgv_2004/index.md
Verordnung über die Schlichtungsstelle nach § 14 des Unterlassungsklagengesetzes  und ihr Verfahren,SchlichtVerfVO,1999-10-27,"BGBlI:1999,2068",gesetze-master/s/schlichtverfvo/index.md
Gesetz über die Aufhebung des staatlichen Schleppmonopols auf den westdeutschen  Kanälen,SchlMonAufhG,1967-08-02,"BGBlII:1967,2098",gesetze-master/s/schlmonaufhg/index.md
"Verordnung nach § 104g Abs. 2 des Versicherungsaufsichtsgesetzes über die Berechnung  der bereinigten Solvabilität von Erst- und Rückversicherungsunternehmen in einer  Erst- oder Rückversicherungsgruppe, die gemäß § 104a Abs. 1 Nr. 1 oder 2 des Versicherungsaufsichtsgesetzes  einer zusätzlichen Beaufsichtigung unterliegen",SolBerV,2001-12-20,"BGBlI:2001,4173",gesetze-master/s/solberv/index.md
Verordnung über maßgebende Rechengrößen der Sozialversicherung für 2013,SVBezGrV 2013,2012-11-26,"BGBlI:2012,2361",gesetze-master/s/svbezgrv_2013/index.md
Verordnung über die Schlichtungsstelle für die Beilegung von Verbraucherstreitigkeiten  bei Fernabsatzverträgen über Versicherungen,SStellV-VVG,2005-02-16,"BGBlI:2005,257",gesetze-master/s/sstellv-vvg/index.md
Gebührenordnung für Maßnahmen im Straßenverkehr,StGebO 2011,2011-01-25,"BGBlI:2011,98",gesetze-master/s/stgebo_2011/index.md
Verordnung über Ausnahmen von straßenverkehrsrechtlichen Vorschriften,StVRAusnV,1993-03-26,"BGBlI:1993,394",gesetze-master/s/stvrausnv/index.md
Schiffsausrüstungsverordnung,SchAusrV,2008-10-01,"BGBlI:2008,1913",gesetze-master/s/schausrv/index.md
Zusatzprotokoll zum Abkommen zwischen der Bundesrepublik Deutschland und der  Portugiesischen Republik über Soziale Sicherheit,SozSichAbkZProt PRT,1966-12-08,"BGBlII:1968,505",gesetze-master/s/sozsichabkzprot_prt/index.md
"Übereinkommen zur Durchführung des Übereinkommens von Schengen vom 14. Juni  1985 zwischen den Regierungen der Staaten der Benelux-Wirtschaftsunion, der Bundesrepublik  Deutschland und der Französischen Republik betreffend den schrittweisen Abbau der  Kontrollen an den gemeinsamen Grenzen",SchÜbkDÜbk,1990-06-19,"BGBlII:1993,1013",gesetze-master/s/schuebkduebk/index.md
Vereinbarung zur Durchführung des Abkommens vom 2. Mai 1998 zwischen der Bundesrepublik  Deutschland und der Republik Ungarn über Soziale Sicherheit,SozSichAbkDVbg HUN,1998-05-02,"BGBlII:1999,922",gesetze-master/s/sozsichabkdvbg_hun/index.md
Gesetz zu dem Protokoll von 1996 zur Änderung des Übereinkommens von 1976 über  die Beschränkung der Haftung für Seeforderungen,SeeSchHaftÜbk1976ÄndProtG,2000-06-27,"BGBlII:2000,790",gesetze-master/s/seeschhaftuebk1976aendprotg/index.md
Verordnung über die Vergütung für Soldaten mit besonderer zeitlicher Belastung,SzBelVergV,1989-06-02,"BGBlI:1989,1075",gesetze-master/s/szbelvergv/index.md
Bekanntmachung über die Gewährung eines dem Sortenschutz entsprechenden Schutzes  außerhalb des Geltungsbereichs des Sortenschutzgesetzes,SortSchBek 1990,1990-09-18,"BGBlI:1990,2104",gesetze-master/s/sortschbek_1990/index.md
Verordnung über die Berufsausbildung zum Schuhfertiger/zur Schuhfertigerin,SchuhfAusbV 1998,1998-05-11,"BGBlI:1998,909",gesetze-master/s/schuhfausbv_1998/index.md
"Sozialgesetzbuch (SGB) - Elftes Buch (XI) - Soziale Pflegeversicherung (Artikel  1 des Gesetzes vom 26. Mai 1994, BGBl. I S. 1014)",SGB 11,1994-05-26,"BGBlI:1994,1014,1015",gesetze-master/s/sgb_11/index.md
Verordnung zum Satellitendatensicherheitsgesetz,SatDSiV,2008-03-26,"BGBlI:2008,508",gesetze-master/s/satdsiv/index.md
"Gesetz zu dem Abkommen vom 9. Februar 2007 zwischen der Bundesrepublik Deutschland  und Australien über die Soziale Sicherheit von vorübergehend im Hoheitsgebiet des  anderen Staates beschäftigten Personen (""Ergänzungsabkommen"")",SozSichAbkAUSErgAbkG,2007-12-08,"BGBlII:2007,1938",gesetze-master/s/sozsichabkausergabkg/index.md
"Verordnung über die Steuerbegünstigung von Stiftungen, die an die Stelle von  Familienfideikommissen getreten sind",StiftKStBegV,1926-02-13,"RGBlI:1926,101",gesetze-master/s/stiftkstbegv/index.md
Wahlordnung für die Sozialversicherung,SVWO 1997,1997-07-28,"BGBlI:1997,1946",gesetze-master/s/svwo_1997/index.md
Schwerbehinderten-Ausgleichsabgabeverordnung,SchwbAV 1988,1988-03-28,"BGBlI:1988,484",gesetze-master/s/schwbav_1988/index.md
Gesetz über die Voraussetzungen und das Verfahren von Sicherheitsüberprüfungen  des Bundes,SÜG,1994-04-20,"BGBlI:1994,867",gesetze-master/s/sueg/index.md
Verordnung über das Berufsbild und über die Prüfungsanforderungen im praktischen  und im fachtheoretischen Teil der Meisterprüfung für das Schriftsetzer-(Buchdrucker-)Handwerk,SchriSeMstrV,1995-06-13,"BGBlI:1995,799",gesetze-master/s/schrisemstrv/index.md
Vereinbarung zur Durchführung des Abkommens zwischen der Bundesrepublik Deutschland  und der Republik Österreich über Soziale Sicherheit,SozSichAbkDVbg AUT,1966-12-22,"BGBlII:1969,1258",gesetze-master/s/sozsichabkdvbg_aut/index.md
Verordnung über Allgemeine Bedingungen für die Grundversorgung von Haushaltskunden  und die Ersatzversorgung mit Elektrizität aus dem Niederspannungsnetz,StromGVV,2006-10-26,"BGBlI:2006,2391",gesetze-master/s/stromgvv/index.md
Verordnung über die Erfüllung von Entschädigungs- und Ausgleichsleistungsansprüchen  durch Begebung und Zuteilung von Schuldverschreibungen des Entschädigungsfonds,SchuV,1995-06-21,"BGBlI:1995,846",gesetze-master/s/schuv/index.md
Verordnung zur Festlegung der Kennzahlen nach § 48a des Zweiten Buches Sozialgesetzbuch,SGB2§48aFKV,2010-08-12,"BGBlI:2010,1152",gesetze-master/s/sgb2_48afkv/index.md
Verordnung über die Leistungsprüfungen und die Zuchtwertfeststellung bei Schafen  und Ziegen,Schaf/ZiegeZLpV,1991-05-16,"BGBlI:1991,1126",gesetze-master/s/schaf_ziegezlpv/index.md
Gesetz zum vorsorgenden Schutz der Bevölkerung gegen Strahlenbelastung,StrVG,1986-12-19,"BGBlI:1986,2610",gesetze-master/s/strvg/index.md
Verordnung über das Berufsbild und über die Prüfungsanforderungen im praktischen  und im fachtheoretischen Teil der Meisterprüfung für das Schornsteinfeger-Handwerk,SchoMstrV,1984-06-25,"BGBlI:1984,771",gesetze-master/s/schomstrv/index.md
Zusatzabkommen zum Abkommen vom 17. Dezember 1973 zwischen der Bundesrepublik  Deutschland und dem Staat Israel über Soziale Sicherheit,SozSichAbkZusAbk ISR,1995-02-12,"BGBlII:1996,299",gesetze-master/s/sozsichabkzusabk_isr/index.md
Gesetz über die Rechtsstellung ausländischer Streitkräfte bei vorübergehenden  Aufenthalten in der Bundesrepublik Deutschland,SkAufG,1995-07-20,"BGBlII:1995,554",gesetze-master/s/skaufg/index.md
Verordnung über die Berufsausbildung zum Schilder- und Lichtreklamehersteller  und zur Schilder- und Lichtreklameherstellerin,SchLichtReklAusbV,2012-03-26,"BGBlI:2012,494",gesetze-master/s/schlichtreklausbv/index.md
Viertes Gesetz zur Änderung des Soldatengesetzes,SGÄndG 4,1962-07-09,"BGBlI:1962,447",gesetze-master/s/sgaendg_4/index.md
Gesetz zu dem Zusatzabkommen vom 2. November 1984 zum Abkommen vom 30. April  1964 zwischen der Bundesrepublik Deutschland und der Republik Türkei über Soziale  Sicherheit und zu der Vereinbarung vom 2. November 1984 zur Durchführung des Abkommens,SozSichAbkÄndAbk2ZAbkTURG,1986-12-11,"BGBlII:1986,1038",gesetze-master/s/sozsichabkaendabk2zabkturg/index.md
Werkstättenverordnung,SchwbWV,1980-08-13,"BGBlI:1980,1365",gesetze-master/s/schwbwv/index.md
"Verordnung zur Aussetzung statistischer Erhebungen im Bereich der Jugendhilfe  im Jahre 1985 nach dem Gesetz über die Durchführung von Statistiken auf dem Gebiet  der Sozialhilfe, der Kriegsopferfürsorge und der Jugendhilfe",SHStatG1985AussV,1985-12-20,"BGBlI:1985,2527",gesetze-master/s/shstatg1985aussv/index.md
Einführungsgesetz zum Strafgesetzbuch,StGBEG,1974-03-02,"BGBlI:1974,469(1975I1916)(1976I507)",gesetze-master/s/stgbeg/index.md
Verordnung zu dem Abkommen vom 21. Februar 1997 zwischen der Regierung der  Bundesrepublik Deutschland und der Regierung der Republik Lettland über die gegenseitige  Steuerbefreiung von Straßenfahrzeugen im internationalen Verkehr,StBefrAbkLETV,1998-05-11,"BGBlII:1998,958",gesetze-master/s/stbefrabkletv/index.md
Gesetz zu der Verwaltungsvereinbarung vom 26. November 1987 zur Durchführung  des Übereinkommens vom 30. November 1979 über die Soziale Sicherheit der Rheinschiffer,SozSichRheinSchiffÜbkVwVbgG,1990-04-30,"BGBlII:1990,382",gesetze-master/s/sozsichrheinschiffuebkvwvbgg/index.md
Gesetz über den Aufbau und die Führung eines Statistikregisters,StatRegG,1998-06-16,"BGBlI:1998,1300",gesetze-master/s/statregg/index.md
Fünfzehnte Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung,StVZOAusnV 15,1967-02-28,"BGBlI:1967,263",gesetze-master/s/stvzoausnv_15/index.md
Verordnung über den automatisierten Abruf von Steuerdaten,StDAV,2005-10-13,"BGBlI:2005,3021",gesetze-master/s/stdav/index.md
Vereinbarung zur Durchführung der Vereinbarung zwischen der Regierung der Bundesrepublik  Deutschland und der Regierung von Quebec über Soziale Sicherheit,SozSichRVbgDVbg CAN,1987-05-14,"BGBlII:1988,64",gesetze-master/s/sozsichrvbgdvbg_can/index.md
Verordnung über die gewerbsmäßige Vermietung von Sportbooten sowie deren Benutzung  auf den Binnenschifffahrtsstraßen,SportbootVermV-Bin2000,2000-04-18,"BGBlI:2000,572",gesetze-master/s/sportbootvermv-bin2000/index.md
Internationales Übereinkommen zur Vereinheitlichung von Regeln über die strafgerichtliche  Zuständigkeit bei Schiffszusammenstößen und anderen mit der Führung eines Seeschiffes  zusammenhängenden Ereignissen,SchZusStrZustÜbk,1952-05-10,"BGBlII:1972,668",gesetze-master/s/schzusstrzustuebk/index.md
Zweites Gesetz zur Überleitung der Haushaltswirtschaft des Bundes in eine mehrjährige  Finanzplanung,StÄndG 1966,1966-12-23,"BGBlI:1966,702",gesetze-master/s/staendg_1966/index.md
Verordnung über die seeärztliche Untersuchung der Seelotsen,SeeLotUntV 1998,1998-03-12,"BGBlI:1998,511",gesetze-master/s/seelotuntv_1998/index.md
Gesetz zur Förderung der Stabilität und des Wachstums der Wirtschaft,StabG,1967-06-08,"BGBlI:1967,582",gesetze-master/s/stabg/index.md
Erste Zusatzvereinbarung zum Allgemeinen Abkommen zwischen der Bundesrepublik  Deutschland und dem Königreich Belgien über Soziale Sicherheit vom 7. Dezember 1957  über die Soziale Sicherheit der Grenzgänger,SozSichAbkZVbg BEL 1,1957-12-07,"BGBlII:1963,430",gesetze-master/s/sozsichabkzvbg_bel_1/index.md
Verordnung über das Ausbildungsgeld für Sanitätsoffizier-Anwärter,SanOAAusbgV,2000-09-12,"BGBlI:2000,1406",gesetze-master/s/sanoaausbgv/index.md
"Sozialgesetzbuch (SGB) Sechstes Buch (VI) - Gesetzliche Rentenversicherung  - (Artikel 1 des Gesetzes v. 18. Dezember 1989, BGBl. I S. 2261, 1990 I S. 1337)",SGB 6,1989-12-18,"BGBlI:1989,2261(1990I1337)",gesetze-master/s/sgb_6/index.md
Gesetz über die Staatsbank Berlin,SBkBG,1990-06-29,"GBlDDRI:1990,504",gesetze-master/s/sbkbg/index.md
Verordnung über Ausnahmen vom Verbot der Beschäftigung von Arbeitnehmern an  Sonn- und Feiertagen in der Papierindustrie,SonntRPapIndAusnV,1963-07-20,"BGBlI:1963,491",gesetze-master/s/sonntrpapindausnv/index.md
Gesetz zu dem Abkommen vom 12. Oktober 2011 zwischen der Bundesrepublik Deutschland  und der Republik Indien über Soziale Sicherheit,SozSichAbkINDG,2012-06-07,"BGBlII:2012,586",gesetze-master/s/sozsichabkindg/index.md
Verordnung über die Besatzung von Schiffen unter fremder Flagge,SchBFrdFlaggV,1981-10-28,"BGBlI:1981,1163",gesetze-master/s/schbfrdflaggv/index.md
Protokollnotiz zu Nummer 3 des Notenwechsels vom 12. September 1994,StreitkrProtN,1994-09-12,"BGBlII:1994,3719",gesetze-master/s/streitkrprotn/index.md
"Verordnung über die Berufsausbildung zum Anlagenmechaniker für Sanitär-, Heizungs-  und Klimatechnik/zur Anlagenmechanikerin für Sanitär-, Heizungs- und Klimatechnik",SHKAnlMechAusbV,2003-06-24,"BGBlI:2003,1012(1439)",gesetze-master/s/shkanlmechausbv/index.md
Verordnung über die elektronische Übermittlung von für das Besteuerungsverfahren  erforderlichen Daten,StDÜV,2003-01-28,"BGBlI:2003,139",gesetze-master/s/stduev/index.md
"Siebtes Buch Sozialgesetzbuch - Gesetzliche Unfallversicherung - (Artikel 1  des Gesetzes vom 7. August 1996, BGBl. I S. 1254)",SGB 7,1996-08-07,"BGBlI:1996,1254",gesetze-master/s/sgb_7/index.md
Gesetz zur Koordinierung der Systeme der sozialen Sicherheit in Europa,SozSichEUG,2011-06-22,"BGBlI:2011,1202",gesetze-master/s/sozsicheug/index.md
Verordnung über die Berufsausbildung zur Fachkraft für Straßen- und Verkehrstechnik  und zur Fachkraft für Wasserwirtschaft,StV/WasAusbV,2000-07-21,"BGBlI:2000,1148",gesetze-master/s/stv_wasausbv/index.md
Verordnung zur Verminderung der Salmonellenverbreitung durch Schlachtschweine,SchwSalmoV,2007-03-13,"BGBlI:2007,322",gesetze-master/s/schwsalmov/index.md
Verordnung über die Wahl der Gleichstellungsbeauftragten und ihrer Stellvertreterin  durch Soldatinnen der Bundeswehr,SGleibWV,2005-05-12,"BGBlI:2005,1394",gesetze-master/s/sgleibwv/index.md
Verordnung über die Haftpflichtversicherung für Schausteller,SchauHV,1984-12-17,"BGBlI:1984,1598",gesetze-master/s/schauhv/index.md
Übereinkommen über den Straßenverkehr,StVÜbk,1968-11-08,"BGBlII:1977,811",gesetze-master/s/stvuebk/index.md
Gesetz über Fremdwährungs-Schuldverschreibungen,SchVerschrFrdWäG,1936-06-26,"RGBlI:1936,515",gesetze-master/s/schverschrfrdwaeg/index.md
